Desplazamiento: 4, Entropía: 3.9616338940984295, Texto descifrado: szobozwhwhedgtgsqjsbqwoheogorshqwtgogqgweidugoaohhspohosbshijrwogzotgsqjsbqwoqdbzofjsoeogsqsbzdhrwhiwbidhhwapdzdhsbjbzsbujoxsrsisgawbordnzjsudshijrwogzotgsqjsbqwoqdbzofjsoeogsqsbsbzdhqgweidugoaohnrsshioaobsgoshiopzsqsgjbogszoqwdbndpisbsgszismidezobdzowrsotjbroasbiozshfjsbdidrohzohzsigohoeogsqsbqdbzoawhaotgsqjsbqwosbzdhismidhhwbdfjsozujbohoeogsqsbaohoasbjrdfjsdigohqdbiobrdzohhwubdhrszismidqwtgordndgrsbobrdzdhrsaondgoasbdgtgsqjsbqwoedrsadhshiopzsqsgqdbxsijgohoqsgqorsfjszsigoqdggshedbrsoqorohwubdszobozwhwhhsqdaezsioqdbzopjhfjsrorseozopgohtgsqjsbishqdadogiwqjzdhnegsedhwqwdbshhworsaohqdbdqsadhdhdhesqvoadhrsozujboeozopgofjsrspooeogsqsgsbszasbhoxsasxdgfjsasxdgszgshidshqjshiwdbrswbijwqwdbhsujbjbshijrwdhdpgsismidhrszrwogwdszeowhrssbgwfjstdbiobwzzdzoajshigoidaororhdbzdhsxsaezogshrsrwqvdrwogwdejpzwqordhrjgobisjbohsaoboqwbqjsbionrdhawzhswhqwsbidhrwsqwbjskszsigohsbidiozzotgsqjsbqworszohzsigohsbqohiszzobdshoegdmwaoroasbiszofjshwujs
Desplazamiento: 5, Entropía: 3.9616338940984295, Texto descifrado: ryñañyvgvgdcfsfrpirapvñgdñfñqrgpvsfñfpfvdhctfñzñggroñgñrarghiqvñfyñsfrpirapvñpcayñeirñdñfrpraycgqvghvahcggvzocycgraiayratiñwrqrhrfzvañqcmyirtcrghiqvñfyñsfrpirapvñpcayñeirñdñfrpraraycgpfvdhctfñzñgmqrrghñzñarfñrghñoyrprfiañfryñpvcamcohrarfryhrlhcdyñacyñvqrñsiaqñzrahñyrgeirachcqñgyñgyrhfñgñdñfrprapcayñzvgzñsfrpirapvñraycghrlhcggvaceirñytiañgñdñfrprazñgñzraiqceirchfñgpcahñaqcyñggvtacgqryhrlhcpvsfñqcmcfqrañaqcycgqrzñmcfñzracfsfrpirapvñdcqrzcgrghñoyrprfpcawrhifñgñprfpñqreiryrhfñpcffrgdcaqrñpñqñgvtacryñañyvgvggrpczdyrhñpcayñoigeirqñqrdñyñofñgsfrpirahrgpczcñfhvpiycgmdfrdcgvpvcarggvñqrzñgpcacprzcgcgcgdrpuñzcgqrñytiañdñyñofñeirqroññdñfrprfraryzragñwrzrwcfeirzrwcfryfrghcrgpirghvcaqrvahivpvcagrtiaiarghiqvcgcofrhrlhcgqryqvñfvcrydñvgqrrafveirscahñavyycyñzirghfñhczñqñqgcaycgrwrzdyñfrgqrqvpucqvñfvcdioyvpñqcgqifñahriañgrzñañpvapirahñmqcgzvygrvgpvrahcgqvrpvairjryrhfñgrahchñyyñsfrpirapvñqryñgyrhfñgrapñghryyñacrgñdfclvzñqñzrahryñeirgvtir
Desplazamiento: 6, Entropía: 3.9616338940984295, Texto descifrado: qxnznxufufcbereqohqzounfcnenpqfoureneoeucgbsenynffqñnfnqzqfghpunexnreqohqzounobzxndhqncneqoqzxbfpufguzgbffuyñbxbfqzhzxqzshnvqpqgqeyuznpblxhqsbqfghpunexnreqohqzounobzxndhqncneqoqzqzxbfoeucgbsenynflpqqfgnynzqenqfgnñxqoqehzneqxnoubzlbñgqzqeqxgqkgbcxnzbxnupqnrhzpnyqzgnxqfdhqzbgbpnfxnfxqgenfncneqoqzobzxnyufynreqohqzounqzxbfgqkgbffuzbdhqnxshznfncneqoqzynfnyqzhpbdhqbgenfobzgnzpbxnffuszbfpqxgqkgbourenpblbepqznzpbxbfpqynlbenyqzbereqohqzouncbpqybfqfgnñxqoqeobzvqghenfnoqeonpqdhqxqgenobeeqfcbzpqnonpnfuszbqxnznxufuffqobycxqgnobzxnñhfdhqpnpqcnxnñenfreqohqzgqfobybneguohxbflceqcbfuoubzqffunpqynfobzboqybfbfbfcqotnybfpqnxshzncnxnñendhqpqñnncneqoqeqzqxyqzfnvqyqvbedhqyqvbeqxeqfgbqfohqfgubzpquzghuoubzfqshzhzqfghpubfbñeqgqkgbfpqxpuneubqxcnufpqqzeudhqrbzgnzuxxbxnyhqfgengbynpnpfbzxbfqvqycxneqfpqpuotbpuneubchñxuonpbfphenzgqhznfqynznouzohqzgnlpbfyuxfqufouqzgbfpuqouzhqiqxqgenfqzgbgnxxnreqohqzounpqxnfxqgenfqzonfgqxxnzbqfncebkuynpnyqzgqxndhqfushq
Desplazamiento: 7, Entropía: 3.9616338940984295, Texto descifrado: pwmymwtetebadqdpñgpyñtmebmdmopeñtqdmdñdtbfardmxmeepnmempypefgotmdwmqdpñgpyñtmñaywmcgpmbmdpñpywaeoteftyfaeetxnawaepygywpyrgmupopfpdxtymoakwgprapefgotmdwmqdpñgpyñtmñaywmcgpmbmdpñpypywaeñdtbfardmxmekoppefmxmypdmpefmnwpñpdgymdpwmñtaykanfpypdpwfpjfabwmyawmtopmqgyomxpyfmwpecgpyafaomewmewpfdmembmdpñpyñaywmxtexmqdpñgpyñtmpywaefpjfaeetyacgpmwrgymembmdpñpyxmemxpygoacgpafdmeñayfmyoawmeetryaeopwfpjfañtqdmoakadopymyoawaeopxmkadmxpyadqdpñgpyñtmbaopxaepefmnwpñpdñayupfgdmemñpdñmopcgpwpfdmñaddpebayopmñmometryapwmymwteteepñaxbwpfmñaywmngecgpomopbmwmndmeqdpñgpyfpeñaxamdftñgwaekbdpbaetñtaypeetmopxmeñayañpxaeaeaebpñsmxaeopmwrgymbmwmndmcgpopnmmbmdpñpdpypwxpyemupxpuadcgpxpuadpwdpefapeñgpeftayoptyfgtñtayeprgygypefgotaeandpfpjfaeopwotmdtapwbmteoppydtcgpqayfmytwwawmxgpefdmfaxmomoeaywaepupxbwmdpeopotñsaotmdtabgnwtñmoaeogdmyfpgymepxmymñtyñgpyfmkoaextwepteñtpyfaeotpñtygphpwpfdmepyfafmwwmqdpñgpyñtmopwmewpfdmepyñmefpwwmyapembdajtxmomxpyfpwmcgpetrgp
Desplazamiento: 11, Entropía: 3.9616338940984295, Texto descifrado: msiuispapaxwznzmkcmukpiaxizilmakpnzizkzpxbwñzitiaamjiaimumabclpizsinzmkcmukpikwusiycmixizmkmuswalpabpubwaaptjwswamucusmuñciqmlmbmztpuilwgscmñwmabclpizsinzmkcmukpikwusiycmixizmkmumuswakzpxbwñzitiaglmmabitiumzimabijsmkmzcuizmsikpwugwjbmumzmsbmfbwxsiuwsiplminculitmubismaycmuwbwliasiasmbziaixizmkmukwusitpatinzmkcmukpimuswabmfbwaapuwycmisñcuiaixizmkmutiaitmuclwycmwbziakwubiulwsiaapñuwalmsbmfbwkpnzilwgwzlmuiulwswalmtigwzitmuwznzmkcmukpixwlmtwamabijsmkmzkwuqmbcziaikmzkilmycmsmbzikwzzmaxwulmikiliapñuwmsiuispapaamkwtxsmbikwusijcaycmlilmxisijzianzmkcmubmakwtwizbpkcswagxzmxwapkpwumaapilmtiakwuwkmtwawawaxmkoitwalmisñcuixisijziycmlmjiixizmkmzmumstmuaiqmtmqwzycmtmqwzmszmabwmakcmabpwulmpubcpkpwuamñcucumabclpwawjzmbmfbwalmslpizpwmsxipalmmuzpycmnwubiupsswsitcmabzibwtililawuswamqmtxsizmalmlpkowlpizpwxcjspkilwalcziubmcuiamtiuikpukcmubiglwatpsampakpmubwalpmkpucmdmsmbziamubwbissinzmkcmukpilmsiasmbziamukiabmssiuwmaixzwfptilitmubmsiycmapñcm
Desplazamiento: 8, Entropía: 3.96163389409843, Texto descifrado: ovlxlvsdsdazcpconfoxnsldalclñodnspclcncsaezqclwlddomldloxodefñslcvlpconfoxnslnzxvlbfolalconoxvzdñsdesxezddswmzvzdoxfxvoxqfltoñoeocwsxlñzjvfoqzodefñslcvlpconfoxnslnzxvlbfolalconoxoxvzdncsaezqclwldjñoodelwlxoclodelmvonocfxlcovlnszxjzmeoxocoveoiezavlxzvlsñolpfxñlwoxelvodbfoxzezñldvldvoecldlalconoxnzxvlwsdwlpconfoxnsloxvzdeoiezddsxzbfolvqfxldlalconoxwldlwoxfñzbfozecldnzxelxñzvlddsqxzdñoveoieznspclñzjzcñoxlxñzvzdñowljzclwoxzcpconfoxnslazñowzdodelmvonocnzxtoefcldlnocnlñobfovoeclnzccodazxñolnlñldsqxzovlxlvsdsddonzwavoelnzxvlmfdbfoñlñoalvlmcldpconfoxeodnzwzlcesnfvzdjacoazdsnszxoddslñowldnzxznowzdzdzdaonrlwzdñolvqfxlalvlmclbfoñomllalconocoxovwoxdltowotzcbfowotzcovcodezodnfodeszxñosxefsnszxdoqfxfxodefñszdzmcoeoiezdñovñslcszovalsdñooxcsbfopzxelxsvvzvlwfodeclezwlñlñdzxvzdotowavlcodñoñsnrzñslcszafmvsnlñzdñfclxeofxldowlxlnsxnfoxeljñzdwsvdosdnsoxezdñsonsxfogovoecldoxezelvvlpconfoxnslñovldvoecldoxnldeovvlxzodlacziswlñlwoxeovlbfodsqfo
Desplazamiento: 9, Entropía: 3.96163389409843, Texto descifrado: ñukwkurcrczybobñmeñwmrkczkbknñcmrobkbmbrzdypbkvkccñlkckñwñcdenrkbukobñmeñwmrkmywukaeñkzkbñmñwuycnrcdrwdyccrvlyuycñwewuñwpeksñnñdñbvrwknyiueñpyñcdenrkbukobñmeñwmrkmywukaeñkzkbñmñwñwuycmbrzdypbkvkcinññcdkvkwñbkñcdkluñmñbewkbñukmrywiyldñwñbñudñhdyzukwyukrnñkoewnkvñwdkuñcaeñwydynkcukcuñdbkckzkbñmñwmywukvrcvkobñmeñwmrkñwuycdñhdyccrwyaeñkupewkckzkbñmñwvkckvñwenyaeñydbkcmywdkwnyukccrpwycnñudñhdymrobknyiybnñwkwnyuycnñvkiybkvñwybobñmeñwmrkzynñvycñcdkluñmñbmywsñdebkckmñbmknñaeñuñdbkmybbñczywnñkmknkcrpwyñukwkurcrccñmyvzuñdkmywuklecaeñnknñzkuklbkcobñmeñwdñcmyvykbdrmeuycizbñzycrmrywñccrknñvkcmywymñvycycyczñmqkvycnñkupewkzkuklbkaeñnñlkkzkbñmñbñwñuvñwcksñvñsybaeñvñsybñubñcdyñcmeñcdrywnñrwdermrywcñpewewñcdenrycylbñdñhdycnñunrkbryñuzkrcnññwbraeñoywdkwruuyukveñcdbkdyvknkncywuycñsñvzukbñcnñnrmqynrkbryzelurmknycnebkwdñewkcñvkwkmrwmeñwdkinycvrucñrcmrñwdycnrñmrweñfñuñdbkcñwdydkuukobñmeñwmrknñukcuñdbkcñwmkcdñuukwyñckzbyhrvknkvñwdñukaeñcrpeñ
Desplazamiento: 10, Entropía: 3.96163389409843, Texto descifrado: ntjvjtqbqbyxañanldnvlqjbyjajmnblqñajalaqycxoajujbbnkjbjnvnbcdmqjatjñanldnvlqjlxvtjzdnjyjanlnvtxbmqbcqvcxbbqukxtxbnvdvtnvodjrnmncnauqvjmxhtdnoxnbcdmqjatjñanldnvlqjlxvtjzdnjyjanlnvnvtxblaqycxoajujbhmnnbcjujvnajnbcjktnlnadvjantjlqxvhxkcnvnantcngcxytjvxtjqmnjñdvmjunvcjtnbzdnvxcxmjbtjbtncajbjyjanlnvlxvtjuqbujñanldnvlqjnvtxbcngcxbbqvxzdnjtodvjbjyjanlnvujbjunvdmxzdnxcajblxvcjvmxtjbbqovxbmntcngcxlqñajmxhxamnvjvmxtxbmnujhxajunvxañanldnvlqjyxmnuxbnbcjktnlnalxvrncdajbjlnaljmnzdntncajlxaanbyxvmnjljmjbqovxntjvjtqbqbbnlxuytncjlxvtjkdbzdnmjmnyjtjkajbñanldnvcnblxuxjacqldtxbhyanyxbqlqxvnbbqjmnujblxvxlnuxbxbxbynlpjuxbmnjtodvjyjtjkajzdnmnkjjyjanlnanvntunvbjrnunrxazdnunrxantanbcxnbldnbcqxvmnqvcdqlqxvbnodvdvnbcdmqxbxkancngcxbmntmqjaqxntyjqbmnnvaqzdnñxvcjvqttxtjudnbcajcxujmjmbxvtxbnrnuytjanbmnmqlpxmqjaqxydktqljmxbmdajvcndvjbnujvjlqvldnvcjhmxbuqtbnqblqnvcxbmqnlqvdnentncajbnvcxcjttjñanldnvlqjmntjbtncajbnvljbcnttjvxnbjyaxgqujmjunvcntjzdnbqodn
Desplazamiento: 1, Entropía: 3.9616338940984304, Texto descifrado: vcrerczkzkhgjwjvtmvetzrkhrjruvktzwjrjtjzhlgxjrdrkkvsrkrvevklmuzrjcrwjvtmvetzrtgecrimvrhrjvtvecgkuzklzelgkkzdsgcgkvemecvexmravuvlvjdzerugpcmvxgvklmuzrjcrwjvtmvetzrtgecrimvrhrjvtvevecgktjzhlgxjrdrkpuvvklrdrevjrvklrscvtvjmerjvcrtzgepgslvevjvclvolghcregcrzuvrwmeurdvelrcvkimveglgurkcrkcvljrkrhrjvtvetgecrdzkdrwjvtmvetzrvecgklvolgkkzegimvrcxmerkrhrjvtvedrkrdvemugimvgljrktgelreugcrkkzxegkuvclvolgtzwjrugpgjuvereugcgkuvdrpgjrdvegjwjvtmvetzrhguvdgkvklrscvtvjtgeavlmjrkrtvjtruvimvcvljrtgjjvkhgeuvrtrurkzxegvcrerczkzkkvtgdhcvlrtgecrsmkimvuruvhrcrsjrkwjvtmvelvktgdgrjlztmcgkphjvhgkztzgevkkzruvdrktgegtvdgkgkgkhvtyrdgkuvrcxmerhrcrsjrimvuvsrrhrjvtvjvevcdvekravdvagjimvdvagjvcjvklgvktmvklzgeuvzelmztzgekvxmemevklmuzgkgsjvlvolgkuvcuzrjzgvchrzkuvvejzimvwgelrezccgcrdmvkljrlgdrurukgecgkvavdhcrjvkuvuztyguzrjzghmscztrugkumjrelvmerkvdrertzetmvelrpugkdzckvzktzvelgkuzvtzemvnvcvljrkvelglrccrwjvtmvetzruvcrkcvljrkvetrklvccregvkrhjgozdrurdvelvcrimvkzxmv
Desplazamiento: 2, Entropía: 3.9616338940984304, Texto descifrado: ubqdqbyjyjgfiviusludsyqjgqiqtujsyviqisiygkfwiqcqjjurqjqudujkltyqibqviusludsyqsfdbqhluqgqiusudbfjtyjkydkfjjycrfbfjudldbudwlqzutukuicydqtfobluwfujkltyqibqviusludsyqsfdbqhluqgqiusududbfjsiygkfwiqcqjotuujkqcqduiqujkqrbusuildqiubqsyfdofrkuduiubkuñkfgbqdfbqytuqvldtqcudkqbujhludfkftqjbqjbukiqjqgqiusudsfdbqcyjcqviusludsyqudbfjkuñkfjjydfhluqbwldqjqgqiusudcqjqcudltfhlufkiqjsfdkqdtfbqjjywdfjtubkuñkfsyviqtfofitudqdtfbfjtucqofiqcudfiviusludsyqgftucfjujkqrbusuisfdzukliqjqsuisqtuhlubukiqsfiiujgfdtuqsqtqjywdfubqdqbyjyjjusfcgbukqsfdbqrljhlutqtugqbqriqjviusludkujsfcfqikyslbfjogiugfjysyfdujjyqtucqjsfdfsucfjfjfjgusxqcfjtuqbwldqgqbqriqhluturqqgqiusuiudubcudjqzucuzfihlucuzfiubiujkfujslujkyfdtuydklysyfdjuwldldujkltyfjfriukuñkfjtubtyqiyfubgqyjtuudiyhluvfdkqdybbfbqclujkiqkfcqtqtjfdbfjuzucgbqiujtutysxftyqiyfglrbysqtfjtliqdkuldqjucqdqsydsludkqotfjcybjuyjsyudkfjtyusydlumubukiqjudkfkqbbqviusludsyqtubqjbukiqjudsqjkubbqdfujqgifñycqtqcudkubqhlujywlu
Desplazamiento: 3, Entropía: 3.9616338940984304, Texto descifrado: tapcpaxixifehuhtrktcrxpifphpstirxuhphrhxfjevhpbpiitqpiptctijksxphapuhtrktcrxprecapgktpfphtrtcaeisxijxcjeiixbqeaeitckcatcvkpytstjthbxcpseñaktvetijksxphapuhtrktcrxprecapgktpfphtrtctcaeirhxfjevhpbpiñsttijpbpcthptijpqatrthkcphtaprxecñeqjtcthtajtnjefapceapxstpukcspbtcjpatigktcejespiapiatjhpipfphtrtcrecapbxibpuhtrktcrxptcaeijtnjeiixcegktpavkcpipfphtrtcbpipbtcksegktejhpirecjpcseapiixvceistajtnjerxuhpseñehstcpcseaeistbpñehpbtcehuhtrktcrxpfestbeitijpqatrthrecytjkhpiprthrpstgktatjhprehhtifecstprpspixvcetapcpaxixiitrebfatjprecapqkigktspstfpapqhpiuhtrktcjtirebephjxrkaeiñfhtfeixrxectiixpstbpirecertbeieieiftrwpbeistpavkcpfpapqhpgktstqppfphtrthtctabtcipytbtyehgktbtyehtahtijetirktijxecstxcjkxrxecitvkckctijksxeieqhtjtnjeistasxphxetafpxisttchxgktuecjpcxaaeapbktijhpjebpspsiecaeitytbfaphtistsxrwesxphxefkqaxrpseiskhpcjtkcpitbpcprxcrktcjpñseibxaitxirxtcjeisxtrxcktltatjhpitcjejpaapuhtrktcrxpstapiatjhpitcrpijtaapcetipfhenxbpspbtcjtapgktixvkt
